,0,Synonym %,Model ID,loss,acc,f1,precision,recall,mcc,auc,runtime,samples_per_second,steps_per_second,epoch
16,eraser_movie_10_synonym_1_14,1,14,1.3647464513778687,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.7229347826086957,2.0029,99.854,6.49,2.0
4,eraser_movie_10_synonym_1_15,1,15,1.2161506414413452,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6443478260869565,1.9709,101.476,6.596,2.0
62,eraser_movie_10_synonym_1_16,1,16,1.2320283651351929,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6594565217391305,1.9819,100.915,6.559,2.0
7,eraser_movie_10_synonym_1_17,1,17,1.1996797323226929,0.5416666666666666,0.13725490196078433,0.7,0.07608695652173914,0.10361824896875171,0.6798913043478261,2.0041,99.795,6.487,2.0
26,eraser_movie_10_synonym_1_18,1,18,1.2130686044692993,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6595652173913045,1.9658,101.741,6.613,2.0
56,eraser_movie_10_synonym_1_19,1,19,1.203168511390686,0.5520833333333334,0.12244897959183672,1.0,0.06521739130434782,0.18725147156828456,0.6913043478260869,1.9704,101.503,6.598,2.0
75,eraser_movie_10_synonym_2_0,2,0,1.294115424156189,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6573913043478261,1.9632,101.874,6.622,2.0
65,eraser_movie_10_synonym_2_1,2,1,1.1335874795913696,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6819565217391305,1.976,101.216,6.579,2.0
86,eraser_movie_10_synonym_2_2,2,2,1.4469152688980103,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6880434782608696,1.9615,101.963,6.628,2.0
0,eraser_movie_10_synonym_2_3,2,3,1.2210015058517456,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6634782608695652,1.949,102.619,6.67,2.0
37,eraser_movie_10_synonym_2_4,2,4,1.1987239122390747,0.5416666666666666,0.1020408163265306,0.8333333333333334,0.05434782608695652,0.1273310006664335,0.6869565217391305,1.98,101.008,6.566,2.0
76,eraser_movie_10_synonym_2_5,2,5,1.4134989976882935,0.5260416666666666,0.06185567010309278,0.6,0.03260869565217391,0.03955107299466176,0.6994565217391304,1.9928,100.359,6.523,2.0
2,eraser_movie_10_synonym_2_6,2,6,1.2339774370193481,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6417391304347826,1.9774,101.142,6.574,2.0
33,eraser_movie_10_synonym_2_7,2,7,1.2165387868881226,0.5364583333333334,0.06315789473684211,1.0,0.03260869565217391,0.13135173437318343,0.6730434782608695,1.9649,101.788,6.616,2.0
85,eraser_movie_10_synonym_2_8,2,8,1.294115424156189,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6573913043478261,1.9682,101.613,6.605,2.0
61,eraser_movie_10_synonym_2_9,2,9,1.1335874795913696,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6819565217391305,1.962,101.937,6.626,2.0
49,eraser_movie_10_synonym_2_10,2,10,1.4469152688980103,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6880434782608696,1.9645,101.809,6.618,2.0
21,eraser_movie_10_synonym_2_11,2,11,1.2210015058517456,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6634782608695652,1.9633,101.869,6.622,2.0
35,eraser_movie_10_synonym_2_12,2,12,1.1987239122390747,0.5416666666666666,0.1020408163265306,0.8333333333333334,0.05434782608695652,0.1273310006664335,0.6869565217391305,1.9798,101.019,6.566,2.0
46,eraser_movie_10_synonym_2_13,2,13,1.4134989976882935,0.5260416666666666,0.06185567010309278,0.6,0.03260869565217391,0.03955107299466176,0.6994565217391304,1.9985,100.075,6.505,2.0
